Longitude;Latitude;DEPART;Predicted Geothermal Gradient (C/Km)
-72.40115884;11.29789018;LA GUAJIRA;22.200352
-76.17385394;6.878960619;ANTIOQUIA;37.93818
-76.79430778;7.772090948;ANTIOQUIA;29.81942
-71.72848607;6.869451714;ARAUCA;31.452414
-73.7692563;6.160970189;SANTANDER;29.578356
-75.40214518;2.507441391;HUILA;32.078161
-72.75816003;6.413858507;SANTANDER;32.78063
-74.0376532;5.473734115;BOYACA;36.684656
-77.4005563;0.945159035;NARINIO;36.58039
-75.15520262;10.38882689;ATLANTICO;26.363848
-75.50450848;1.797820719;CAQUETA;35.129797
-76.11368598;1.892460315;HUILA;34.168299
-76.05705903;9.332025783;CORDOBA;23.553225
-74.28661077;10.76424728;MAGDALENA;28.830744
-75.87041392;1.428062807;CAQUETA;29.664
-75.62410347;6.308857448;ANTIOQUIA;37.05684
-75.42311789;6.981492815;ANTIOQUIA;29.250574
-75.65449709;4.931516033;CALDAS;35.20101
-72.99321178;7.320273593;SANTANDER;37.50406
-75.37195508;7.724491893;ANTIOQUIA;26.161802
-75.58994553;7.706232095;CORDOBA;32.994497
-75.40886344;9.549466779;SUCRE;36.7949
-76.95487825;5.371984704;CHOCO;28.759882
-75.71507989;7.725250269;CORDOBA;31.418997
-75.72344764;3.063084417;TOLIMA;33.21195
-75.91543484;5.704169196;ANTIOQUIA;28.921934
-76.27425191;0.97189348;PUTUMAYO;31.880045
-74.92973264;5.84527591;ANTIOQUIA;30.344072
-71.55143817;7.021110432;ARAUCA;28.266817
-76.18270168;4.017569135;VALLE DEL CAUCA;28.556208
-78.62356194;1.516446986;NARINIO;26.69693
-75.32727702;8.960802347;CORDOBA;30.410776
-72.42029473;11.47635164;LA GUAJIRA;28.582233
-76.94820396;0.430079159;PUTUMAYO;33.730963
-70.94547621;4.515368236;VICHADA;35.156828
-73.13787616;2.331261667;GUAVIARE;36.217085
-71.75778209;6.705105158;ARAUCA;28.401903
-72.46758853;5.31362895;CASANARE;24.096935
-75.28289846;8.416360345;CORDOBA;28.04827
-75.65995817;0.870330372;CAQUETA;32.393072
-76.00783061;6.906783119;ANTIOQUIA;39.696028
-76.67099255;4.891966024;CHOCO;28.76185
-75.2882858;1.866339875;CAQUETA;33.448072
-78.49537612;2.220317702;NARINIO;31.050907
-74.72215318;7.72036646;ANTIOQUIA;31.29397
-77.73981905;2.307049572;CAUCA;23.309408
-75.04217393;8.759604631;SUCRE;34.428274
-73.7269607;10.54843121;CESAR;41.127968
-73.51205884;3.949524425;META;30.546057
-74.76702954;3.583639589;HUILA;29.519987
-75.13998482;8.785485932;SUCRE;30.314085
-74.3278144;6.903544599;ANTIOQUIA;34.10058
-72.85337483;10.62425072;LA GUAJIRA;37.16427
-76.78145011;6.829115169;ANTIOQUIA;30.264324
-74.06967359;6.586933738;SANTANDER;25.121405
-74.00232803;8.307734063;BOLIVAR;34.925524
-76.16053494;8.679554065;CORDOBA;35.027903
-75.71365449;5.608070806;ANTIOQUIA;35.849928
-75.35460149;2.84296656;HUILA;26.22634
-70.25449219;6.321681429;ARAUCA;26.391169
-73.14407397;7.146600274;SANTANDER;32.58156
-75.00766494;4.196332806;TOLIMA;27.925016
-74.76809954;6.451812282;ANTIOQUIA;31.997477
-73.37019557;4.599960343;CUNDINAMARCA;33.405508
-73.64491472;9.262243579;CESAR;32.046766
-74.6558546;5.000652738;CUNDINAMARCA;29.37393
-71.12406262;3.34991266;META;40.334816
-76.29434204;4.435211122;VALLE DEL CAUCA;34.236372
-77.61988449;0.839915222;NARINIO;32.183664
-74.18839974;4.517026019;BOGOTA D. C.;38.88465
-75.76129075;3.247742535;TOLIMA;33.749685
-72.37541745;-0.760303549;CAQUETA;40.155266
-73.39736963;10.06515437;CESAR;29.49335
-77.53996416;1.323321078;NARINIO;39.755302
-71.51979981;4.694084663;META;32.44821
-76.05448029;6.661623175;ANTIOQUIA;37.211075
-76.67746942;2.710711605;CAUCA;32.371542
-74.1073702;3.273161087;META;40.486628
-76.33896322;4.529241857;VALLE DEL CAUCA;41.21971
-73.47877042;4.433803587;CUNDINAMARCA;40.228416
-73.33137931;10.00669059;CESAR;33.964403
-75.81386279;8.887285054;CORDOBA;32.531992
-76.83421004;6.592571047;ANTIOQUIA;29.629742
-76.01083128;4.554273983;VALLE DEL CAUCA;28.883745
-74.80740514;11.0152668;ATLANTICO;26.53017
-73.08443618;10.28770059;CESAR;37.89646
-76.36490465;4.066478734;VALLE DEL CAUCA;36.34532
-71.1772143;3.314325062;META;41.963074
-75.05355026;9.871612183;BOLIVAR;31.066442
-77.50854726;3.06227112;CAUCA;31.258764
-75.72001096;4.817592233;RISARALDA;38.989332
-75.70849818;3.555318862;TOLIMA;33.05121
-72.2237062;7.063092623;NORTE DE SANTANDER;29.923697
-73.32739072;3.272835678;META;32.363508
-78.16077253;1.81740923;NARINIO;26.793432
-78.34799694;2.621490957;NARINIO;24.38145
-70.3973757;-3.586627465;AMAZONAS;42.47287
-73.66245459;7.429856163;SANTANDER;29.916729
-73.52118226;7.957241206;CESAR;29.809607
-75.31208176;1.591681708;CAQUETA;37.119722
-76.57843217;3.254177573;VALLE DEL CAUCA;37.884607
-76.38006464;2.950999006;CAUCA;38.669832
-75.5517498;6.499497064;ANTIOQUIA;37.631464
-73.88177498;10.3620405;CESAR;41.31543
-75.17880485;3.316761628;HUILA;28.772112
-73.98252989;10.40896603;CESAR;34.561396
-73.92909185;4.879556045;CUNDINAMARCA;46.30291
-73.10802618;6.689262202;SANTANDER;37.533194
-74.84685953;4.313891622;CUNDINAMARCA;30.587496
-74.25673838;7.972291111;BOLIVAR;33.799437
-76.43013726;2.747155599;CAUCA;36.758644
-76.1425526;2.042424831;HUILA;33.444567
-75.98191621;5.689213168;ANTIOQUIA;40.132736
-72.41648456;11.20958558;LA GUAJIRA;27.678547
-74.69564836;-0.102415434;PUTUMAYO;33.688223
-75.52891451;8.680178785;CORDOBA;30.012583
-76.61973522;4.921273767;CHOCO;33.343676
-75.30192495;4.564159246;TOLIMA;39.562555
-74.93170883;2.342892512;CAQUETA;32.380205
-74.81738902;2.684816775;CAQUETA;39.906822
-75.54085651;2.896642191;HUILA;32.418207
-76.92190265;7.621109951;ANTIOQUIA;32.15397
-75.57585594;1.564988444;CAQUETA;28.450678
-75.90352433;9.166956229;CORDOBA;25.649649
-74.69207523;10.84486505;MAGDALENA;26.742723
-73.17463607;7.174553402;SANTANDER;27.772585
-78.62254366;2.076859264;NARINIO;33.011747
-76.71885456;6.438251257;ANTIOQUIA;31.271631
-75.13593245;9.338127842;SUCRE;31.557444
-75.53495137;8.789671815;CORDOBA;27.190954
-73.85714189;10.35901466;CESAR;40.38124
-74.60955644;8.207216033;BOLIVAR;29.711565
-74.12626654;11.31411234;MAGDALENA;25.445389
-72.94885201;10.30425733;LA GUAJIRA;36.67079
-72.77344343;10.81943554;LA GUAJIRA;33.178339
