,Longitude,Latitude,DEPART,Predicted Geothermal Gradient (C/Km)
2302,-74.51295,6.082228,ANTIOQUIA,23.08661
2303,-74.515439,6.119397,ANTIOQUIA,22.652096
2304,-74.512547,6.088422,ANTIOQUIA,22.923702
2305,-74.513861,6.091994,ANTIOQUIA,22.885471
2306,-74.519328,6.094567,ANTIOQUIA,22.97878
2307,-74.509019,6.081175,ANTIOQUIA,23.12233
2308,-74.516436,6.094975,ANTIOQUIA,22.841675
2309,-74.520911,6.097414,ANTIOQUIA,22.944754
2310,-74.521544,6.100442,ANTIOQUIA,22.88671
2311,-74.515989,6.098503,ANTIOQUIA,22.818155
2312,-74.519922,6.103019,ANTIOQUIA,22.879126
2313,-74.521844,6.104797,ANTIOQUIA,22.840954
2314,-74.523417,6.10365,ANTIOQUIA,22.8507
2315,-74.523561,6.103586,ANTIOQUIA,22.851242
2316,-74.518128,6.085353,ANTIOQUIA,23.065733
2317,-74.519622,6.108497,ANTIOQUIA,22.831848
2318,-74.524878,6.111703,ANTIOQUIA,22.76974
2319,-74.518467,6.105122,ANTIOQUIA,22.86359
2320,-74.516269,6.107997,ANTIOQUIA,22.734858
2321,-74.526075,6.115747,ANTIOQUIA,22.726757
2322,-74.51785,6.111094,ANTIOQUIA,22.809326
2323,-74.513328,6.104953,ANTIOQUIA,22.780766
2324,-74.511058,6.069164,ANTIOQUIA,22.933306
2325,-74.512731,6.090275,ANTIOQUIA,22.90733
2326,-74.515422,6.101306,ANTIOQUIA,22.7933
2327,-74.506883,6.075586,ANTIOQUIA,23.179836
2328,-74.511414,6.084897,ANTIOQUIA,22.958092
2329,-74.508556,6.078894,ANTIOQUIA,23.145712
2330,-74.520058,6.103464,ANTIOQUIA,22.874662
2331,-74.515572,6.086911,ANTIOQUIA,22.91504
2332,-74.508383,6.076942,ANTIOQUIA,23.161821
2333,-74.508517,6.074728,ANTIOQUIA,22.912615
2334,-74.511144,6.086842,ANTIOQUIA,22.94386
2335,-74.510367,6.073867,ANTIOQUIA,22.907156
2336,-74.514444,6.089144,ANTIOQUIA,22.90523
2337,-74.516983,6.099133,ANTIOQUIA,22.958199
2338,-74.506703,6.064058,ANTIOQUIA,23.037895
2339,-74.518339,6.100219,ANTIOQUIA,22.90082
2340,-74.516847,6.101178,ANTIOQUIA,22.902802
2341,-74.525644,6.126536,ANTIOQUIA,22.853886
2342,-74.526278,6.120328,ANTIOQUIA,22.734411
2343,-74.517336,6.091222,ANTIOQUIA,23.018631
2344,-74.506894,6.077758,ANTIOQUIA,23.166107
2345,-74.506442,6.079792,ANTIOQUIA,23.152603
2346,-74.519983,6.104464,ANTIOQUIA,22.860071
2347,-74.510497,6.065275,ANTIOQUIA,23.002598
2348,-74.514222,6.092989,ANTIOQUIA,22.87537
2349,-74.518519,6.100317,ANTIOQUIA,22.898857
2350,-74.511258,6.101617,ANTIOQUIA,22.821697
2351,-74.524697,6.101072,ANTIOQUIA,22.850182
2352,-74.506842,6.082044,ANTIOQUIA,23.132627
2353,-74.512536,6.073367,ANTIOQUIA,22.890274
2354,-74.523358,6.107583,ANTIOQUIA,22.818518
2355,-74.523547,6.104631,ANTIOQUIA,22.837076
2356,-74.516669,6.10325,ANTIOQUIA,22.885319
2357,-74.517239,6.102689,ANTIOQUIA,22.895842
2358,-74.513372,6.1028,ANTIOQUIA,22.801065
2359,-75.357779,2.947007,HUILA,25.284285
2360,-75.360008,2.94113,HUILA,25.357105
2361,-73.449661,7.425481,SANTANDER,19.54189
2362,-71.1039,6.9685,ARAUCA,25.631433
2363,-74.609256,6.026186,ANTIOQUIA,24.793886
2364,-75.284778,3.041594,HUILA,23.683895
2365,-75.288917,3.053425,HUILA,23.624947
2366,-75.283736,3.050983,HUILA,23.524118
2367,-75.279647,3.043169,HUILA,23.457237
2368,-75.280931,3.045072,HUILA,23.502554
2369,-75.285242,3.053975,HUILA,23.5514
2370,-75.278647,3.040808,HUILA,23.622375
2371,-75.288972,3.047175,HUILA,23.521317
2372,-75.291428,3.047978,HUILA,23.543692
2373,-75.286328,3.057914,HUILA,23.56123
2374,-75.285067,3.041356,HUILA,23.688667
2375,-75.288389,3.046819,HUILA,23.518404
2376,-75.280475,3.039128,HUILA,23.649761
2377,-75.277833,3.037164,HUILA,23.599081
2378,-75.277061,3.034447,HUILA,23.559364
2379,-75.285456,3.043644,HUILA,23.548798
2380,-75.279514,3.036553,HUILA,23.612328
2381,-75.288081,3.062075,HUILA,23.599094
2382,-75.279011,3.031636,HUILA,23.582598
2383,-75.285878,3.049197,HUILA,23.46583
2384,-75.284608,3.056922,HUILA,23.549889
2385,-75.284844,3.056692,HUILA,23.543438
2386,-75.286683,3.051753,HUILA,23.571297
2387,-75.286919,3.0469,HUILA,23.5047
2388,-75.289625,3.049578,HUILA,23.524899
2389,-75.289122,3.057378,HUILA,23.625362
2390,-75.290178,3.044814,HUILA,23.543816
2391,-75.284711,3.047242,HUILA,23.473898
2392,-75.283306,3.042125,HUILA,23.551712
2393,-75.284778,3.038911,HUILA,23.65593
2394,-75.279869,3.033253,HUILA,23.678753
2395,-75.280961,3.050661,HUILA,23.561802
2396,-75.282256,3.038294,HUILA,23.637852
2397,-75.287328,3.055817,HUILA,23.569126
2398,-75.288044,3.061994,HUILA,23.598589
2399,-75.288956,3.053506,HUILA,23.625404
2400,-75.284642,3.048211,HUILA,23.48027
2401,-75.287661,3.059692,HUILA,23.594872
2402,-75.283425,3.044953,HUILA,23.45316
2403,-75.287186,3.049061,HUILA,23.472078
2404,-74.306429,6.181215,SANTANDER,23.10987
2405,-76.363031,1.523639,CAUCA,27.930283
2406,-74.720761,5.669398,CALDAS,24.521065
2407,-74.720676,5.669367,CALDAS,24.521624
2408,-72.976037,4.637746,CASANARE,25.03105
2409,-76.237969,8.189053,CÓRDOBA,21.600752
2410,-71.136804,6.931059,ARAUCA,25.388119
2411,-76.302647,3.5854,VALLE DEL CAUCA,23.145555
2412,-73.713683,8.096869,CESAR,20.789484
2413,-72.4502,5.4279,CASANARE,24.59848
2414,-72.450239,5.427889,CASANARE,24.601736
2415,-72.456306,5.442411,CASANARE,25.05701
2416,-73.546517,7.6956,NORTE DE SANTANDER,18.905624
2417,-74.559958,2.125347,META,29.222044
2418,-73.470483,7.305289,SANTANDER,18.752762
2419,-73.473672,7.299719,SANTANDER,18.655056
2420,-73.487881,7.275861,SANTANDER,18.199902
2421,-73.472878,7.309792,SANTANDER,18.778885
2422,-73.49045,7.269514,SANTANDER,18.124752
2423,-73.493583,7.262919,SANTANDER,18.086506
2424,-73.498103,7.259886,SANTANDER,18.080883
2425,-73.484206,7.2878,SANTANDER,18.312782
2426,-73.484258,7.270275,SANTANDER,18.18466
2427,-73.463253,7.307761,SANTANDER,18.939953
2428,-73.470786,7.296919,SANTANDER,18.657501
2429,-73.473731,7.283528,SANTANDER,18.46505
2430,-73.481058,7.294294,SANTANDER,18.59232
2431,-73.478203,7.279736,SANTANDER,18.297947
2432,-73.469136,7.314919,SANTANDER,18.80928
2433,-73.470856,7.293489,SANTANDER,18.661755
2434,-73.466539,7.299667,SANTANDER,18.759027
2435,-73.467817,7.296481,SANTANDER,18.700586
2436,-73.464008,7.301708,SANTANDER,18.897366
2437,-73.476608,7.282994,SANTANDER,18.279669
2438,-73.477125,7.287944,SANTANDER,18.446827
2439,-73.487683,7.281128,SANTANDER,18.202023
2440,-73.496514,7.272786,SANTANDER,18.095383
2441,-73.476158,7.294083,SANTANDER,18.60878
2442,-73.472136,7.290172,SANTANDER,18.483894
2443,-73.465119,7.304492,SANTANDER,18.897053
2444,-73.4802,7.281661,SANTANDER,18.28936
2445,-73.630353,6.776806,SANTANDER,21.094883
2446,-73.978728,6.958169,ANTIOQUIA,21.178524
2447,-73.973489,6.956486,ANTIOQUIA,21.17603
2448,-73.973494,6.965833,ANTIOQUIA,21.37447
2449,-73.984231,6.950978,ANTIOQUIA,21.391865
2450,-73.982239,6.956342,ANTIOQUIA,21.190886
2451,-73.971233,6.961964,ANTIOQUIA,21.376862
2452,-73.975025,6.959531,ANTIOQUIA,21.386442
2453,-73.649089,7.328894,SANTANDER,18.106047
2454,-74.686933,5.861733,ANTIOQUIA,25.180836
2455,-72.583575,8.474361,NORTE DE SANTANDER,26.452393
2456,-72.5765,8.477094,NORTE DE SANTANDER,26.513065
2457,-74.883681,4.514577,TOLIMA,26.331837
2458,-76.618622,8.5247,ANTIOQUIA,20.969597
2459,-75.255836,3.155261,HUILA,23.23531
2460,-75.275208,3.0171,HUILA,23.582365
2461,-75.268333,3.007219,HUILA,23.720669
2462,-75.2698,3.011283,HUILA,23.674675
2463,-75.269106,3.000903,HUILA,23.800413
2464,-75.268633,3.013744,HUILA,23.64187
2465,-75.267214,2.998233,HUILA,23.864378
2466,-75.277586,3.016017,HUILA,23.690063
2467,-74.447414,9.365092,MAGDALENA,21.576324
2468,-75.288414,3.931428,TOLIMA,25.071863
2469,-74.539972,9.636461,MAGDALENA,20.098354
2470,-74.361942,10.444767,MAGDALENA,18.176165
2471,-74.998906,9.520394,BOLÍVAR,20.817762
2472,-74.692219,10.395525,MAGDALENA,20.355759
2473,-76.301907,0.490419,PUTUMAYO,26.918602
2474,-75.241158,3.165297,HUILA,23.247618
2475,-73.457567,4.027192,META,25.135006
2476,-71.959514,5.766246,CASANARE,24.218739
2477,-75.071586,9.844858,BOLÍVAR,22.085825
2478,-74.996108,3.703494,TOLIMA,25.024908
2479,-75.204189,3.929978,TOLIMA,25.47269
2480,-74.885264,5.054764,TOLIMA,27.832787
2481,-75.343798,3.096158,HUILA,25.72153
2482,-74.022353,6.873347,SANTANDER,21.473785
2483,-73.21,2.94,META,28.8267
2484,-74.746922,4.622933,CUNDINAMARCA,23.134157
