DEPART;Latitude;Longitude;Elevation (m);Surface Temperature (C);Moho Depth (m);Magnetic Anomaly (nT);Fault;Strike-slip Fault;Reverse or Thrust Fault;Lineament;Right-lateral Fault;Normal Fault;Active Fault;Curie Depth (Km);Vertical Gravity Gradient (E);Free Air Anomaly (mGal);Bouguer Anomaly (mGal);Apparent Geothermal Gradient (C/Km)
CESAR;8.074036;-73.58365;81.0768;27.794616;37439.35492;23.5712;17382.99772;31302.76593;25600.83513;83558.50813;31140.41621;137112.9081;23337.54076;32;-34.34375;-79.45001;-94.19381493;19.24026087
CESAR;8.074861;-73.587308;80.4672;27.797664;37412.71243;23.5712;17556.2711;31699.82311;25583.48395;83165.57481;30734.92673;137057.3253;23331.67748;32;-34.34375;-79.45001;-94.19381493;19.10541423
CESAR;8.069947;-73.586944;80.4672;27.797664;37426.72359;23.5712;17118.78688;31406.04802;26110.19153;83480.31372;30996.8288;136562.0655;23854.2602;32;-34.34375;-79.45001;-94.19381493;18.93950742
CESAR;8.0791;-73.588064;86.868;27.76566;37398.00893;23.8637;17913.37354;32000.94497;25139.16493;82854.07214;30470.26695;137467.9539;22892.54624;32;-34.34375;-79.45001;-94.19381493;18.44039242
ANTIOQUIA;7.828981;-76.707569;14.0208;28.129896;32780.51335;-73.4522;18553.6006;48181.35181;15494.86581;74692.82937;53296.39408;238165.5981;6497.81594;22;-43.0625;-23.899994;-4.811302097;14.36918063
META;4.076544;-73.37905;275.2344;26.823828;36647.94313;-131.9892;28909.93858;70349.69399;1440.70226;57582.45787;61854.37326;254598.6715;26134.0242;32;-25;-73.95001;-96.28917172;27.64783986
META;4.080986;-73.386289;279.8064;26.800968;36636.8823;-131.9892;28317.40851;69802.50363;2037.935208;58146.83232;61471.41302;255153.6698;25499.03575;32;-22.46875;-73.95001;-97.88475951;28.63691755
META;4.073333;-73.387817;285.5976;26.772012;36600.45686;-130.3526;29138.89562;70636.21545;1365.886141;57322.31285;60850.03729;255633.9672;26303.99248;32;-22.46875;-73.95001;-97.88475951;23.08144512
META;4.079911;-73.384831;278.892;26.80554;36638.36441;-131.9892;28455.02305;69931.93415;1876.04123;58012.5249;61536.18868;255049.3153;25645.01904;32;-22.46875;-73.95001;-97.88475951;27.6179059
META;4.069986;-73.394544;288;26.76;36561.04756;-130.3526;29435.51569;70963.08489;1735.748897;57037.6678;60024.7111;256465.8292;26138.41807;32;-22.46875;-73.95001;-97.88475951;29.33518026
META;4.0738;-73.3967;286.512;26.76744;36568.41998;-130.3526;28996.05102;70529.82077;2145.873757;57485.09588;60068.56436;256525.5129;25709.48318;32;-22.46875;-73.95001;-97.88475951;27.10398432
META;4.067739;-73.397969;293.2176;26.733912;36538.95158;-130.3526;29654.30902;71192.6559;2017.935444;56837.32672;59570.52325;256912.4225;25956.98293;32;-22.46875;-73.95001;-97.88475951;27.84197297
META;4.0892;-73.3776;281.0256;26.794872;36703.14042;-131.9892;27550.4374;68967.05626;2849.397779;58963.37671;62783.06669;253915.9444;24800.22449;32;-39.46875;-73.95001;-99.81416562;29.53638216
META;4.067669;-73.391008;313.0296;26.634852;36565.02169;-130.3526;29725.7241;71240.28733;1274.789562;56737.96578;60204.46196;256201.8443;26607.28698;32;-22.46875;-73.95001;-97.88475951;26.73835993
META;4.0702167;-73.3882583;287.1216;26.764392;36586.09298;-130.3526;29476.21925;70977.13739;1151.12158;56984.76347;60615.32674;255811.5778;26636.03944;32;-22.46875;-73.95001;-97.88475951;28.28952415
META;4.08195;-73.404619;274.32;26.8284;36571.71003;-131.9892;28042.26019;69591.826;3381.759087;58491.4836;59878.05738;256996.5484;24486.06056;32;-22.46875;-73.95001;-100.4373964;28.08386618
META;4.086089;-73.382581;274.32;26.8284;36671.32683;-131.9892;27809.93652;69267.88964;2502.918902;58668.94141;62132.75555;254558.241;25021.40036;32;-39.46875;-73.95001;-99.81416562;25.63756931
META;4.078417;-73.391089;280;26.8;36608.15858;-131.9892;28541.86981;70053.13495;2033.640131;57920.24051;60871.85684;255754.7389;25690.95214;32;-22.46875;-73.95001;-97.88475951;23.39326874
META;4.089775;-73.387667;285.5976;26.772012;36665.48867;-131.9892;27334.18931;68822.65037;3011.408287;59129.25387;61909.66896;254926.692;24515.34065;32;-41.8125;-73.95001;-101.815733;30.45008925
META;4.07665;-73.387022;284.6832;26.776584;36616.86071;-131.9892;28784.21684;70275.72006;1628.452322;57678.03019;61130.7587;255411.928;25957.15221;32;-22.46875;-73.95001;-97.88475951;30.34015247
META;4.072806;-73.390367;287.4264;26.762868;36588.4625;-130.3526;29167.27209;70677.25646;1515.801904;57294.68227;60583.61575;255917.8428;26316.4014;32;-22.46875;-73.95001;-97.88475951;12.53319466
META;4.077542;-73.382447;276.4536;26.817732;36638.38944;-131.9892;28748.65429;70211.71669;1563.295712;57726.44737;61605.08652;254904.8001;25951.66539;32;-25;-73.95001;-96.28917172;23.60639016
TOLIMA;4.105473;-74.701611;261.5184;26.892408;44670.9483;-61.9198;1587.506467;13851.03672;1617.248357;53377.90799;38556.62138;198344.0568;36308.50877;30;-131.40625;-87.70001;-173.0781207;13.52371988
MAGDALENA;9.890686;-74.634439;121.92;27.5904;38383.80631;-10.9309;53422.9859;73341.3362;40257.18421;164150.3301;17201.30608;336224.5592;51980.15741;20;9.625;-32.55002;-50.61993575;21.02493513
ARAUCA;6.916601;-71.177426;144.78;27.4761;36913.81693;-39.9422;103955.7245;94553.65888;68893.57404;265238.7661;95839.50831;217268.7356;69279.96538;36;-4.28125;-34.17502;-52.63230123;26.1944369
META;3.445934;-73.94681;560.2224;25.398888;36833.1841;-25.8384;24780.56624;75987.75965;2379.897751;51202.45941;14270.94758;287504.0987;6659.697356;34;-18.625;-24.399994;-80.09028429;26.76072328
ARAUCA;6.954928;-71.856931;204.216;27.17892;38672.97063;-25.9004;29141.56659;26328.4499;7789.875159;205604.3289;35286.86913;230931.5912;8219.262432;36;-30.46875;-94.30002;-118.9502364;19.24609473
ARAUCA;6.958485;-71.843839;189.8904;27.250548;38603.92576;-25.9004;30443.0456;27625.17485;9289.936481;206962.6634;36640.99971;230899.2628;9694.647188;36;-30.03125;-103.850006;-116.5188077;18.04135811
ARAUCA;6.984136;-71.820089;193.548;27.23226;38515.53759;-27.8324;32486.45766;31489.16063;12763.30591;210802.0781;40482.27069;232913.034;12372.88115;36;-37.15625;-103.850006;-120.3221322;19.04485989
ARAUCA;6.982347;-71.835658;188.3664;27.258168;38587.44962;-29.0673;30811.66012;30149.76669;11135.61548;209364.5093;39063.08772;233186.8313;10658.80498;36;-30.03125;-103.850006;-118.5688261;15.52446396
CASANARE;5.251782;-71.384182;142.0368;27.489816;36520.56911;31.285;111145.3656;150991.4314;87300.71417;216010.3991;135374.907;35513.90253;48439.95594;32;-5.9375;-48.100006;-63.58120123;35.08334695
CASANARE;5.2573362;-71.38093;142.6464;27.486768;36529.5136;31.285;110744.9224;150703.8228;87222.60384;216203.6114;135227.5406;35945.35084;48734.12552;32;-6.40625;-48.100006;-63.56703597;32.10136256
